Symbol,Price,BEP20 Circulation,BEP20 Used Amount,BEP20 Used Ratio,BEP20 Circulation Market Capacity,BEP20 Used Market Capacity,BPE2 Circulation,BEP2 Circulation Market Capacity,TotalSupply,Total Market Capacity,BEP20 Contract,Need Rebalancing?
SXP-CCC,$1.3435,214375410.2,103815661.3,48.427%,$288003592.4,$139471609,70993377.8,$95376367.1,285368788,$383379959.6,0x47BEAd2563dCBf3bF2c9407fEa4dC236fAbA485A,true
TWT-8C2,$0.5351,196374826.8,129743563.4,66.0693%,$105083977.5,$69428296.5,803524142.6,$429981349,999898969.44909998983250182,$535065326.6,0x4B0F1812e5Df2A09796481Ff14017e6005508003,true
ANKR-E97,$0.0748,9059636372.5,238467509.2,2.6322%,$677486493.3,$17832781.6,940363627.5,$70321106.7,10000000000,$747807600,0xf307910A4c7bbc79691fD374889b36d8531B08e3,false
EGLD-745,$189.73,599828.1,285079,47.5268%,$113805348.9,$54088020.5,171.9,$32621.6,600000,$113837970.5,0xbF7c81FFF98BbE61B40Ed186e4AfD6DDd01337fe,false
Cake,$7.96,267575990.2,255480097.6,95.4795%,$2129904881.8,$2033621576.5,0,$0,267575990.171800151998725883,$2129904881.8,0x0E09FaBB73Bd3Ade0a17ECC321fD13a19e81cE82,true
ALPHA,$0.3727,1000000000,893575893.9,89.3576%,$372657600,$332997848,0,$0,999999999.999923854699263676,$372657600,0xa1faa113cbE53436Df28FF0aEe54275c13B40975,true
XVS,$8.7047,29800815,26045250.1,87.3978%,$259407702.5,$226716567.7,0,$0,29800815.014396423831677812,$259407702.5,0xcF6BB5389c92Bdda8a3747Ddb454cB7a64626C63,true
BURGER,$1.803,18070288.4,10013342.9,55.4133%,$32579903.2,$18053599.1,0,$0,18070288.448115547993925948,$32579903.2,0xAe9269f27437f0fcBC232d39Ec814844a51d6b8f,true
PROM,$10.0069,19250000,17144124.8,89.0604%,$192633082.1,$171559771.7,0,$0,19250000,$192633082.1,0xaF53d56ff99f1322515E54FdDE93FF8b3b7DAFd5,true
CTK,$1.2386,9119928.7,6423967.2,70.4388%,$11296361.3,$7957020,0,$0,9119928.704956,$11296361.3,0xA8c2B8eec3d368C0253ad3dae65a5F2BBB89c929,true
FIS,$0.7396,500000,424865.2,84.973%,$369789,$314220.9,0,$0,500000,$369789,0xF4bafAEAE73a4A7C8b6479970075e91e641fB1FC,true
SPARTA,$0.1559,2550625.8,2469393.1,96.8152%,$397517.6,$384857.4,0,$0,2550625.817738961949967259,$397517.6,0xE4Ae305ebE1AbE663f261Bc00534067C80ad677C,true
crADA,$0,84264519.2,84264519.2,100%,$0,$0,0,$0,84264519.19229657,$0,0x81C15D3E956e55e77E1f3F257f0A65Bd2725fC55,true
BAKE,$0.657,289127487.9,246332777,85.1987%,$189959225.8,$161842735.7,0,$0,289127487.932159756892297636,$189959225.8,0xE02dF9e3e622DeBdD69fb838bB799E3F168902c5,true
ANY,$20.4257,3770461.2,1985865,52.669%,$77014218.5,$40562636,0,$0,3770461.151185780631691741,$77014218.5,0xF68C9Df95a18B2A5a5fa1124d79EEEffBaD0B6Fa,true
RAVEN,$0.0005,347151149.7,347151149.7,100%,$186534.7,$186534.7,0,$0,347151149.74596149,$186534.7,0xcD7C5025753a49f1881B31C48caA7C517Bb46308,true
STM,$0,99000000,99000000,100%,$0,$0,0,$0,99000000,$0,0x90DF11a8ccE420675e73922419e3f4f3Fe13CCCb,true
CAN,$0.0167,12376718.9,3341036.2,26.9945%,$206541,$55754.7,0,$0,12376718.860024454474398525,$206541,0x007EA5C0Ea75a8DF45D288a4debdD5bb633F9e56,true
STAX,$1.055,22140603.6,22140603.6,100%,$23358336.8,$23358336.8,0,$0,22140603.596471713570608714,$23358336.8,0x0Da6Ed8B13214Ff28e9Ca979Dd37439e8a88F6c4,true
FRIES,$0,40580.1,39244.8,96.7095%,$0,$0,0,$0,40580.060382733542330436,$0,0x393B312C01048b3ed2720bF1B090084C09e408A1,true
FREE,$0,9996816234187.7,9996816199360.7,100%,$0,$0,0,$0,9996816234187.727183936416851119,$0,0x12e34cDf6A031a10FE241864c32fB03a4FDaD739,true
PROPEL,$0.0001,7789244069.1,7789243769.1,100%,$912432.1,$912432,0,$0,7789244069.144385284829090569,$912432.1,0x9B44Df3318972bE845d83f961735609137C4C23c,true
CBIX,$0.0014,11462806.7,11462806.7,100%,$15739.9,$15739.9,0,$0,11462806.657999228759277399,$15739.9,0x34681C1035F97E1eDcccec5f142e02FF81a3A230,true
INNBC,$0,6159940324.9,3362008387.5,54.5786%,$925.8,$505.3,0,$0,6159940324.904136,$925.8,0xdF1F0026374d4BCc490BE5E316963Cf6Df2FfF19,true
FOR,$0.0482,305000000,78968339.6,25.8913%,$14693548.8,$3804344.8,0,$0,304999999.99999963055914463,$14693548.8,0x658A109C5900BC6d2357c87549B651670E5b0539,true
MILK,$0,11867.4,11867.4,100%,$0,$0,0,$0,11867.402930372559864313,$0,0x8E9f5173e16Ff93F81579d73A7f9723324d6B6aF,true
KOGE,$62.49,3443448.8,3443448.8,100%,$215181115.7,$215181115.7,0,$0,3443448.803075552954799649,$215181115.7,0xe6DF05CE8C8301223373CF5B969AFCb1498c5528,true
KHP,$0,4179.4,4179.4,100%,$0,$0,0,$0,4179.368423330832573257,$0,0x15B3d410fCd0d695E1bbe4F717F8E1B6D0Fb2D0C,true
BHC,$48.37,50000,50000,100%,$2418500,$2418500,0,$0,49999.999904265836921401,$2418500,0x6fd7c98458a943f469E1Cf4eA85B173f5Cd342F4,true
DOS,$0.0115,12189564.4,12189564.4,100%,$140175.5,$140175.5,0,$0,12189564.38399779,$140175.5,0xDc0f0a5719c39764b011eDd02811BD228296887C,true
crADA,$0,84264519.2,84264519.2,100%,$0,$0,0,$0,84264519.19229657,$0,0x81C15D3E956e55e77E1f3F257f0A65Bd2725fC55,true
PSG,$18.152,2000000,1391743.9,69.5872%,$36304069,$25262983.9,0,$0,2000000,$36304069,0xBc5609612b7C44BEf426De600B5fd1379DB2EcF1,true
JUV,$7.3245,2000000,1794778.5,89.7389%,$14649005.9,$13145860.6,0,$0,2000000,$14649005.9,0xC40C9A843E1c6D01b7578284a9028854f6683b1B,true
OG,$3.4038,2000000,428674.8,21.4337%,$6807609.6,$1459125.5,0,$0,2000000,$6807609.6,0xf05E45aD22150677a017Fbd94b84fBB63dc9b44c,true
ASR,$3.1512,2000000,857100.4,42.855%,$6302472.1,$2700925.7,0,$0,2000000,$6302472.1,0x80D5f92C2c8C682070C95495313dDB680B267320,true
ATM,$5.745,2000000,1058244.8,52.9122%,$11490016.1,$6079625.1,0,$0,2000000,$11490016.1,0x25E9d05365c867E59C1904E7463Af9F312296f9E,true
BTCST,$15.91,14999889.4,11007488.4,73.3838%,$238648240.1,$175129139.7,0,$0,14999889.38346071,$238648240.1,0x78650B139471520656b9E7aA7A5e9276814a38e9,true
BDO,$0.0113,26593533.5,26593533.5,100%,$301599.1,$301599.1,0,$0,26593533.539774868294743267,$301599.1,0x190b589cf9Fb8DDEabBFeae36a813FFb2A702454,true
sBDO,$0,100001,100001,100%,$0,$0,0,$0,100000.999999999974848,$0,0x0d9319565be7f53CeFE84Ad201Be3f40feAE2740,true
DITTO,$0.4645,196802.8,196802.8,100%,$91410.2,$91410.2,0,$0,196802.849007544,$91410.2,0x233d91A0713155003fc4DcE0AFa871b508B3B715,true
UST,$1,33976646.4,21474286.6,63.2031%,$33977334.5,$21474721.5,0,$0,33976646.438534445056349246,$33977334.5,0x23396cF899Ca06c4472205fC903bDB4de249D6fC,true
LUNA,$52.1828,7877.8,7877.8,100%,$411086.3,$411086.3,0,$0,7877.819253009999999997,$411086.3,0xECCF35F941Ab67FfcAA9A1265C2fF88865caA005,true
UST,$1,33976646.4,21474286.6,63.2031%,$33977334.5,$21474721.5,0,$0,33976646.438534445056349246,$33977334.5,0x23396cF899Ca06c4472205fC903bDB4de249D6fC,true
KRT,$0,48554.2,48554.2,100%,$0,$0,0,$0,48554.206739,$0,0xfFBDB9BDCae97a962535479BB96cC2778D65F4dd,true
SDT,$0,1.6,1.6,100%,$0,$0,0,$0,1.596407,$0,0x7d5f9F8CF59986743f34BC137Fc197E2e22b7B05,true
MNT,$0,0.1,0.1,100%,$0,$0,0,$0,0.118782,$0,0x41D74991509318517226755E508695c4D1CE43a6,true
MIR,$1.1758,14654222.2,993969.3,6.7828%,$17230871.4,$1168738.8,0,$0,14654222.158000859716904636,$17230871.4,0x5B6DcF557E2aBE2323c48445E8CC948910d8c2c9,true
mAAPL,$0,1.6,1.6,100%,$0,$0,0,$0,1.563023,$0,0x900AEb8c40b26A8f8DfAF283F884b03EE7Abb3Ec,true
mGOOGL,$0,33.8,33.8,100%,$0,$0,0,$0,33.847388070713772615,$0,0x62D71B23bF15218C7d2D7E48DBbD9e9c650B173f,true
mTSLA,$0,143.4,143.4,100%,$0,$0,0,$0,143.378417460831730324,$0,0xF215A127A196e3988C09d052e16BcFD365Cd7AA3,true
mNFLX,$0,94.1,94.1,100%,$0,$0,0,$0,94.089680223712102166,$0,0xa04F060077D90Fe2647B61e4dA4aD1F97d6649dc,true
mQQQ,$0,0.7,0.7,100%,$0,$0,0,$0,0.717325,$0,0x1Cb4183Ac708e07511Ac57a2E45A835F048D7C56,true
mTWTR,$0,0.2,0.2,100%,$0,$0,0,$0,0.171732,$0,0x7426Ab52A0e057691E2544fae9C8222e958b2cfB,true
mMSFT,$0,0,0,100%,$0,$0,0,$0,0.032697,$0,0x0ab06caa3Ca5d6299925EfaA752A2D2154ECE929,true
mAMZN,$0,15.6,15.6,100%,$0,$0,0,$0,15.639377471046767852,$0,0x3947B992DC0147D2D89dF0392213781b04B25075,true
mBABA,$0,0.1,0.1,100%,$0,$0,0,$0,0.072561,$0,0xcA2f75930912B85d8B2914Ad06166483c0992945,true
mIAU,$0,0,0,100%,$0,$0,0,$0,0.005124,$0,0x1658AeD6C7dbaB2Ddbd8f5D898b0e9eAb0305813,true
mSLV,$0,0.6,0.6,100%,$0,$0,0,$0,0.581943,$0,0x211e763d0b9311c08EC92D72DdC20AB024b6572A,true
mUSO,$0,0.2,0.2,100%,$0,$0,0,$0,0.240219,$0,0x9cDDF33466cE007676C827C76E799F5109f1843C,true
mVIXY,$0,0,0,100%,$0,$0,0,$0,0.006553,$0,0x92E744307694Ece235cd02E82680ec37c657D23E,true
BAND,$4.0334,2622093.4,1804423.4,68.8161%,$10576070.2,$7278043.2,0,$0,2622093.359250603288875956,$10576070.2,0xAD6cAEb32CD2c308980a548bD0Bc5AA4306c6c18,true
CREAM,$0.0004,128250,31980.5,24.9361%,$48.7,$12.1,0,$0,128249.998325625974010991,$48.7,0xd4CB328A82bDf5f03eB737f37Fa6B370aef3e888,true
JULb,$4.54,605186.4,605186.4,100%,$2747546.4,$2747546.4,0,$0,605186.423094448069939247,$2747546.4,0x32dFFc3fE8E3EF3571bF8a72c0d0015C5373f41D,true
JulD,$0.0153,799383821,799383821,100%,$12269998.1,$12269998.1,0,$0,799383821.044064105824513501,$12269998.1,0x5A41F637C3f7553dBa6dDC2D3cA92641096577ea,true
KP3RB,$0.1932,247029.6,247029.6,100%,$47713.8,$47713.8,0,$0,247029.60000000000000025,$47713.8,0x5EA29eEe799aA7cC379FdE5cf370BC24f2Ea7c81,true
FRONT,$0.4699,33324022.1,10462480.7,31.3962%,$15659419.5,$4916464.6,0,$0,33324022.141683754236220669,$15659419.5,0x928e55daB735aa8260AF3cEDadA18B5f70C72f1b,true
wSOTE,$0.0515,7601082.4,7601082.4,100%,$391463.3,$391463.3,0,$0,7601082.361201082042106905,$391463.3,0x541E619858737031A1244A5d0Cd47E5ef480342c,true
Helmet,$0.0505,48809051.9,48809039.9,100%,$2464857.1,$2464856.5,0,$0,48809051.925436778899303924,$2464857.1,0x948d2a81086A075b3130BAc19e4c6DEe1D2E3fE8,true
BSCX,$2.28,9779658.1,9779658.1,100%,$22297620.5,$22297620.5,0,$0,9779658.095182852246308515,$22297620.5,0x5Ac52EE5b2a633895292Ff6d8A89bB9190451587,true
TEN,$0.3414,3438644.3,3438644.3,100%,$1174097.6,$1174097.6,0,$0,3438644.272817804534253019,$1174097.6,0xdFF8cb622790b7F92686c722b02CaB55592f152C,true
