Symbol,Price,BEP20 Circulation,BEP20 Used Amount,BEP20 Used Ratio,BEP20 Circulation Market Capacity,BEP20 Used Market Capacity,BPE2 Circulation,BEP2 Circulation Market Capacity,TotalSupply,Total Market Capacity,BEP20 Contract,Need Rebalancing?
BNB,$382.3654,22570753.6,15699615.3,69.5573%,$8630274344.1,$6002989059.4,142552276,$54507052477.5,165123029.55475522356221333,$63137326821.6,0x0000000000000000000000000000000000000000,true
BTCB-1DE,$38216.8706,105154.3,80223.8,76.2915%,$4018668493.8,$3065903394.4,11846.7,$452743583.5,117000.999996567572745207,$4471412077.3,0x7130d2A12B9BCbFAe4f2634d864A1Ee1Ce3Ead9c,true
BUSD-BD1,$1,4746827374.6,4324988810.1,91.1133%,$4746827374.6,$4324988810.1,569171988.8,$569171988.8,5315999363.406107979591673775,$5315999363.4,0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56,true
LINK-AAD,$12.8369,8151078.7,6796396,83.3803%,$104634349.5,$87244462.4,948921.3,$12181181.2,9100000,$116815530.7,0xF8A0BF9cF54Bb92F17374d9e9A321E6a111a51bD,true
USDT-6D8,$1,3866276926.2,3534987470.4,91.4313%,$3866276926.2,$3534987470.4,148720996,$148720996,4014997922.167745944456900537,$4014997922.2,0x55d398326f99059fF775485246999027B3197955,true
ADA-9F4,$0.8012,239348741.7,154851931,64.6972%,$191773624.5,$124072162.9,432951258.3,$346893956.7,672300000,$538667581.1,0x3EE2200Efb3400fAbB9AacF31297cBdD1d435D47,true
BAND-34B,$3.5343,2622204.8,1853172.6,70.6723%,$9267560.1,$6549598.5,577795.2,$2042080,3200000,$11309640.1,0xAD6cAEb32CD2c308980a548bD0Bc5AA4306c6c18,true
BCH-1FD,$276.9545,150315.9,50934.5,33.885%,$41630667.7,$14106547.6,19684.1,$5451604.9,170000,$47082272.6,0x8fF795a6F4D97E7887C79beA79aba5cc76444aDf,true
DAI-D75,$1,261992545.1,158654156.2,60.5567%,$261992545.1,$158654156.2,7007454.9,$7007454.9,268999999.999999008105332639,$269000000,0x1AF3F329e8BE154074D8769D1FFa4eE058B1DBc3,true
DOT-64C,$16.5214,14913539.8,8290786.3,55.5923%,$246391915.4,$136975040.5,1086460.2,$17949797.4,15999999.991309562546802105,$264341712.8,0x7083609fCE4d1d8Dc0C979AAb8c869Ea2C873402,true
