Symbol,Price,BEP20 Circulation,BEP20 Used Amount,BEP20 Used Ratio,BEP20 Circulation Market Capacity,BEP20 Used Market Capacity,BPE2 Circulation,BEP2 Circulation Market Capacity,TotalSupply,Total Market Capacity,BEP20 Contract,Need Rebalancing?
SXP-CCC,$1.3664,83936910.1,38558571.2,45.9376%,$114694163.8,$52687704.1,205778015.9,$281181871.7,289714926,$395876035.5,0x47BEAd2563dCBf3bF2c9407fEa4dC236fAbA485A,false
TWT-8C2,$0.3085,170975176.4,68078777.6,39.8179%,$52748659.6,$21003424.8,829024821.6,$255767819.8,999999998,$308516479.4,0x4B0F1812e5Df2A09796481Ff14017e6005508003,false
ANKR-E97,$0.0115,9057568348.4,203496116.6,2.2467%,$104568267.9,$2349332.1,942431651.6,$10880232.1,10000000000,$115448500,0xf307910A4c7bbc79691fD374889b36d8531B08e3,false
Cake,$2.3534,109686188.4,103823002.3,94.6546%,$258130915.6,$244332737.1,0,$0,109686188.407782192894264905,$258130915.6,0x0E09FaBB73Bd3Ade0a17ECC321fD13a19e81cE82,true
ALPHA,$1.9164,1000000000,106919758.1,10.692%,$1916350810,$204895765.1,0,$0,1000000000,$1916350810,0xa1faa113cbE53436Df28FF0aEe54275c13B40975,true
XVS,$10.4146,30000000,26630567.2,88.7686%,$312436519.2,$277345390.3,0,$0,30000000,$312436519.2,0xcF6BB5389c92Bdda8a3747Ddb454cB7a64626C63,true
BURGER,$1.0812,11822877.5,6627906.9,56.06%,$12782815.9,$7166048.5,0,$0,11822877.452598074467712123,$12782815.9,0xAe9269f27437f0fcBC232d39Ec814844a51d6b8f,true
PROM,$0,19250000,19156894.8,99.5163%,$0,$0,0,$0,19250000,$0,0xaF53d56ff99f1322515E54FdDE93FF8b3b7DAFd5,true
CTK,$0.9484,8512836.9,1747577.3,20.5287%,$8073154,$1657316,0,$0,8512836.905642,$8073154,0xA8c2B8eec3d368C0253ad3dae65a5F2BBB89c929,true
SPARTA,$0.2348,62570564.9,39134206,62.5441%,$14691506.1,$9188672.4,0,$0,62570564.902885183622217323,$14691506.1,0xE4Ae305ebE1AbE663f261Bc00534067C80ad677C,true
crADA,$0,361947289.2,361947289.2,100%,$0,$0,0,$0,361947289.17144463,$0,0x81C15D3E956e55e77E1f3F257f0A65Bd2725fC55,true
BAKE,$0.0648,126560230.6,38897653.2,30.7345%,$8202528.4,$2521006,0,$0,126560230.600407192371456282,$8202528.4,0xE02dF9e3e622DeBdD69fb838bB799E3F168902c5,true
ANY,$0.2268,1788943.9,1788943.9,100%,$405813,$405813,0,$0,1788943.880594769476788172,$405813,0xF68C9Df95a18B2A5a5fa1124d79EEEffBaD0B6Fa,true
RAVEN,$0,212112821.5,212112821.5,100%,$0,$0,0,$0,212112821.46666118,$0,0xcD7C5025753a49f1881B31C48caA7C517Bb46308,true
STM,$0,99000000,99000000,100%,$0,$0,0,$0,99000000,$0,0x90DF11a8ccE420675e73922419e3f4f3Fe13CCCb,true
CAN,$0,2078660.9,495179.9,23.8221%,$0,$0,0,$0,2078660.855401824474398525,$0,0x007EA5C0Ea75a8DF45D288a4debdD5bb633F9e56,true
STAX,$0.9525,16595356.5,16595356.5,100%,$15806562.2,$15806562.2,0,$0,16595356.453875515009496045,$15806562.2,0x0Da6Ed8B13214Ff28e9Ca979Dd37439e8a88F6c4,true
FRIES,$11.9049,29509.4,29266,99.1751%,$351306.9,$348408.9,0,$0,29509.39262305936989754,$351306.9,0x393B312C01048b3ed2720bF1B090084C09e408A1,true
FREE,$0,9999999854042,9999999839215,100%,$4129848.5,$4129848.5,0,$0,9999999854042.013253408015395172,$4129848.5,0x12e34cDf6A031a10FE241864c32fB03a4FDaD739,true
PROPEL,$0,7223463747.6,7223463447.6,100%,$0,$0,0,$0,7223463747.56657348,$0,0x9B44Df3318972bE845d83f961735609137C4C23c,true
CBIX,$0,17660.9,17660.9,100%,$0,$0,0,$0,17660.90527709,$0,0x34681C1035F97E1eDcccec5f142e02FF81a3A230,true
INNBC,$0.002,149994400,23285104.8,15.524%,$303959.7,$47186.7,0,$0,149994400,$303959.7,0xdF1F0026374d4BCc490BE5E316963Cf6Df2FfF19,true
FOR,$0.0242,100000000,52446623.5,52.4466%,$2424355.1,$1271492.4,0,$0,99999999.999999630559144645,$2424355.1,0x658A109C5900BC6d2357c87549B651670E5b0539,true
MILK,$0,13292,13292,100%,$0,$0,0,$0,13292,$0,0x8E9f5173e16Ff93F81579d73A7f9723324d6B6aF,true
KOGE,$1.7159,3460388.8,3460388.8,100%,$5937787.5,$5937787.5,0,$0,3460388.805020107269509871,$5937787.5,0xe6DF05CE8C8301223373CF5B969AFCb1498c5528,true
KHP,$0,10067.7,10067.7,100%,$0,$0,0,$0,10067.712971650702394999,$0,0x15B3d410fCd0d695E1bbe4F717F8E1B6D0Fb2D0C,true
BHC,$10.4023,50000,50000,100%,$520117.4,$520117.4,0,$0,50000.000000000000057005,$520117.4,0x6fd7c98458a943f469E1Cf4eA85B173f5Cd342F4,true
DOS,$0,18215,18215,100%,$0,$0,0,$0,18214.98265271,$0,0xDc0f0a5719c39764b011eDd02811BD228296887C,true
crADA,$0,361947289.2,361947289.2,100%,$0,$0,0,$0,361947289.17144463,$0,0x81C15D3E956e55e77E1f3F257f0A65Bd2725fC55,true
PSG,$8.061,2000000,1548961.3,77.4481%,$16121905.7,$12486104.1,0,$0,2000000,$16121905.7,0xBc5609612b7C44BEf426De600B5fd1379DB2EcF1,true
JUV,$8.079,2000000,1491129,74.5564%,$16158000,$12046831.1,0,$0,2000000,$16158000,0xC40C9A843E1c6D01b7578284a9028854f6683b1B,true
OG,$3.611,2000000,431089.8,21.5545%,$7221907.2,$1556645.3,0,$0,2000000,$7221907.2,0xf05E45aD22150677a017Fbd94b84fBB63dc9b44c,true
ASR,$3.7678,2000000,632833.1,31.6417%,$7535635.2,$2384399.8,0,$0,2000000,$7535635.2,0x80D5f92C2c8C682070C95495313dDB680B267320,true
ATM,$4.3188,2000000,769237.9,38.4619%,$8637507.7,$3322149,0,$0,2000000,$8637507.7,0x25E9d05365c867E59C1904E7463Af9F312296f9E,true
BTCST,$68.2381,1500000,940235.1,62.6823%,$102357220.1,$64159903.8,0,$0,1500000,$102357220.1,0x78650B139471520656b9E7aA7A5e9276814a38e9,true
BDO,$1.0745,4962694.4,4962694.4,100%,$5332563.6,$5332563.6,0,$0,4962694.359193920913023874,$5332563.6,0x190b589cf9Fb8DDEabBFeae36a813FFb2A702454,true
sBDO,$896.3268,86595.1,86595.1,100%,$77617533.4,$77617533.4,0,$0,86595.12576103500493732,$77617533.4,0x0d9319565be7f53CeFE84Ad201Be3f40feAE2740,true
DITTO,$1.1564,1290639.5,1290639.5,100%,$1492554.7,$1492554.7,0,$0,1290639.524516467,$1492554.7,0x233d91A0713155003fc4DcE0AFa871b508B3B715,true
UST,$1.0506,12452578.5,12452578.5,100%,$13082311,$13082311,0,$0,12452578.456781,$13082311,0x23396cF899Ca06c4472205fC903bDB4de249D6fC,true
LUNA,$1.5337,0,0,100%,$0,$0,0,$0,0.001,$0,0xECCF35F941Ab67FfcAA9A1265C2fF88865caA005,true
UST,$1.0506,12452578.5,12452578.5,100%,$13082311,$13082311,0,$0,12452578.456781,$13082311,0x23396cF899Ca06c4472205fC903bDB4de249D6fC,true
KRT,$0,5000,5000,100%,$0,$0,0,$0,5000,$0,0xfFBDB9BDCae97a962535479BB96cC2778D65F4dd,true
SDT,$0,0,0,0,$0,$0,0,$0,0,$0,0x7d5f9F8CF59986743f34BC137Fc197E2e22b7B05,false
MNT,$0,0,0,0,$0,$0,0,$0,0,$0,0x41D74991509318517226755E508695c4D1CE43a6,false
MIR,$0,217533.9,217533.9,100%,$0,$0,0,$0,217533.917175,$0,0x5B6DcF557E2aBE2323c48445E8CC948910d8c2c9,true
mAAPL,$0,0,0,100%,$0,$0,0,$0,0.007243,$0,0x900AEb8c40b26A8f8DfAF283F884b03EE7Abb3Ec,true
mGOOGL,$0,659.7,659.7,100%,$0,$0,0,$0,659.745492,$0,0x62D71B23bF15218C7d2D7E48DBbD9e9c650B173f,true
mTSLA,$0,1431.7,1431.7,100%,$0,$0,0,$0,1431.680052,$0,0xF215A127A196e3988C09d052e16BcFD365Cd7AA3,true
mNFLX,$0,2219.8,2219.8,100%,$0,$0,0,$0,2219.783156,$0,0xa04F060077D90Fe2647B61e4dA4aD1F97d6649dc,true
mQQQ,$0,0,0,0,$0,$0,0,$0,0,$0,0x1Cb4183Ac708e07511Ac57a2E45A835F048D7C56,false
mTWTR,$0,0,0,0,$0,$0,0,$0,0,$0,0x7426Ab52A0e057691E2544fae9C8222e958b2cfB,false
mMSFT,$0,0,0,0,$0,$0,0,$0,0,$0,0x0ab06caa3Ca5d6299925EfaA752A2D2154ECE929,false
