BEP2 Symbol,BEP2 TotalSupply,BPE2 Circulation,BEP20 Contract,BEP20 TotalSupply,BEP20 Circulation,Price(USD),BEP2 Circulation Market Capacity(USD),BEP20 Circulation Market Capacity(USD),Total Market Capacity(USD),BEP20 Scattered Amount,BEP20 Scattered Market Capacity(USD),Need Rebalancing?
BTCB-1DE,9001,3999.8,0x7130d2A12B9BCbFAe4f2634d864A1Ee1Ce3Ead9c,9001,5001.17358255,11359.2391,45434984.6,56809526.5,102244511.1,2407.5,27347671.3,false
BUSD-BD1,121000000,25426994.8,0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56,121000000,95573005.21900923,1,25426994.8,95573005.2,121000000,60496623,60496623,false
LINK-AAD,2000000,493060.9,0xF8A0BF9cF54Bb92F17374d9e9A321E6a111a51bD,2000000,1506939.12847,10.8469,5348158.3,16345545.6,21693703.9,1163112.1,12616104.5,false
USDT-6D8,80000000,14956681,0x55d398326f99059fF775485246999027B3197955,130000000,115043318.9877407,1,14956681,115043319,130000000,33458117.6,33458117.6,true
ADA-9F4,150000000,50000000,0x3EE2200Efb3400fAbB9AacF31297cBdD1d435D47,150000000,100000000,0.1053,5265969.9,10531939.8,15797909.7,73055746.9,7694187.3,false
BAND-34B,2200000,600000,0xAD6cAEb32CD2c308980a548bD0Bc5AA4306c6c18,2200000,1600000,6.6726,4003570,10676186.6,14679756.6,803717.5,5362898.5,false
BCH-1FD,45000,22504,0x8fF795a6F4D97E7887C79beA79aba5cc76444aDf,45000,22496.00008,240.6386,5415330,5413404.9,10828735,8619,2074065.9,false
DAI-D75,10000000,5000005,0x1AF3F329e8BE154074D8769D1FFa4eE058B1DBc3,10000000,4999995,1,5000005,4999995,10000000,128034.2,128034.2,false
DOT-64C,7500000,1125005.1,0x7083609fCE4d1d8Dc0C979AAb8c869Ea2C873402,7500000,6374994.86999999,4.3853,4933433,27955970.3,32889403.3,3391036.6,14870556.2,false
ETH-1C9,205000,14905.6,0x2170Ed0880ac9A755fd29B2688956BD959F933F8,205000,190094.37800893,373.9964,5574648.7,71094609.9,76669258.6,75680.8,28304356.9,false
LTC-F07,210000,105000.4,0x4338665CBB7B2485A8855A139b75D5e34AB0DB94,210000,104999.57140999,48.8162,5125718.9,5125677.1,10251396,32333.1,1578379,false
ONT-33D,15000000,7499846.7,0xFd7B3A77848f1C2D67E05E54d78d174a0C850335,15000000,7500153.251,0.6093,4569562.3,4569749,9139311.3,247948.4,151071.8,false
XRP-BF2,42000000,20948584.2,0x1D2F0da169ceB9fC7B3144628dB156f3F6c60dBE,42000000,21051415.7779,0.2562,5366493.7,5392836.5,10759330.1,6134445.9,1571488.8,false
XTZ-F7A,4000000,2000000,0x16939ef78684453bfDFb47825F8a5F714f12623a,4000000,2000000,2.2469,4493842.6,4493842.6,8987685.1,45410.4,102033.5,false
EOS-CDD,7640000,1820000.5,0x56b6fB708fC5732DEC1Afc8D8556423A2EDcCbD6,7640000,5819999.49,2.6924,4900111.8,15669582.7,20569694.5,4782111.4,12875205.7,false
ATOM-596,1000000,250000,0x0Eb3a705fc54725037CC9e008bDede697f62F335,1000000,750000.0144,5.3072,1326809.8,3980429.6,5307239.3,21825.2,115831.7,false
YFII-061,2000,500,0x7F70642d88cf1C4a3a7abb072B53B929b653edA5,2000,1500,2424.4013,1212200.6,3636601.9,4848802.6,40,96910,false
ZEC-93E,100000,25000,0x1Ba42e5193dfA8B03D15dd1B86a3113bbBEF8Eeb,100000,75000,65.4159,1635397.4,4906192.2,6541589.6,0.2,12.1,false
BEL-D85,3000000,1500000,0x8443f091997f06a61670B735ED92734F5628692F,3000000,1500000,1.1833,1774891.4,1774891.4,3549782.8,0,0,false
COMP-DEE,20000,10000,0x52CE071Bd9b1C4B00A0b92D298c512478CaD67e8,20000,10000,118.5188,1185187.6,1185187.6,2370375.2,0,0,false
ELF-D72,3000000,1500000,0xa3f020a5C92e15be13CAF0Ee5C95cF79585EeCC9,3000000,1500000,0.1005,150718,150718,301436,0,0,false
IOTX-0ED,3000000,1500000,0x9678E42ceBEb63F23197D726B29b1CB20d0064E5,3000000,1500000,0.0074,11069.9,11069.9,22139.8,0,0,false
MKR-F04,5000,2500,0x5f0Da599BB2ccCfcf6Fdfd7D81743B6020864350,5000,2500,569.7316,1424329,1424329,2848658,0,0,false
TCT-826,3000000,1500000,0xCA0a9Df6a8cAD800046C1DDc5755810718b65C44,3000000,1500000,0.0122,18302.9,18302.9,36605.8,0,0,false
Total,,,,,,,154554411.1,466782913.1,621337324.2,,208843548.1,
